# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:01 AM UTC
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"1","A1","65","RPLP2","74.4011001586914","588208.375","21339.34765625"
"1","A1","66","RPLP2","74.62611389160156","582474.6875","21220.158203125"
"1","A1","67","RPLP2","74.85111999511719","577618.5","21150.828125"
"1","A1","68","RPLP2","75.07613372802734","572686.8125","21122.966796875"
"1","A1","69","RPLP2","75.3011474609375","568488.0625","21137.671875"
"1","A1","70","RPLP2","75.52615356445312","561543.4375","21215.77734375"
"1","A1","71","RPLP2","75.75116729736328","557799.875","21392.998046875"
"1","A1","72","RPLP2","75.97618103027344","554629.375","21700.19921875"
"1","A1","73","RPLP2","76.20118713378906","546448.0","22025.7421875"
"1","A1","74","RPLP2","76.42620086669922","544165.25","22394.943359375"
"1","A1","75","RPLP2","76.65120697021484","536178.9375","22757.1484375"
"1","A1","76","RPLP2","76.876220703125","530726.0","23038.603515625"
"1","A1","77","RPLP2","77.10122680664062","524074.625","23188.32421875"
"1","A1","78","RPLP2","77.32624053955078","518950.5625","23201.888671875"
"1","A1","79","RPLP2","77.55125427246094","515020.4375","23124.04296875"
"1","A1","80","RPLP2","77.77626037597656","507281.65625","23029.58203125"
"1","A1","81","RPLP2","78.00127410888672","505695.125","22991.69140625"
"1","A1","82","RPLP2","78.22628784179688","497519.65625","23054.015625"
"1","A1","83","RPLP2","78.4512939453125","492124.875","23217.27734375"
"1","A1","84","RPLP2","78.67630767822266","487739.8125","23443.45703125"
"1","A1","85","RPLP2","78.90132141113281","481491.71875","23673.046875"
"1","A1","86","RPLP2","79.12632751464844","473815.4375","23850.130859375"
"1","A1","87","RPLP2","79.3513412475586","468684.1875","23947.25390625"
"1","A1","88","RPLP2","79.57635498046875","462076.59375","23983.34765625"
"1","A1","89","RPLP2","79.80136108398438","458951.9375","24029.45703125"
"1","A1","90","RPLP2","80.02637481689453","452856.09375","24203.578125"
"1","A1","91","RPLP2","80.25138854980469","445434.5","24668.37109375"
"1","A1","92","RPLP2","80.47639465332031","441348.6875","25642.736328125"
"1","A1","93","RPLP2","80.70140838623047","436009.25","27431.21875"
"1","A1","94","RPLP2","80.9264144897461","427387.0625","30451.69140625"
"1","A1","95","RPLP2","81.15142822265625","422034.875","35225.953125"
"1","A1","96","RPLP2","81.37643432617188","413445.9375","42292.2109375"
"1","A1","97","RPLP2","81.60144805908203","399554.4375","52013.0"
"1","A1","98","RPLP2","81.82646179199219","386952.75","64299.3125"
"1","A1","99","RPLP2","82.05146789550781","360210.4375","78342.4453125"
"1","A1","100","RPLP2","82.27648162841797","316881.96875","92504.5625"
"1","A1","101","RPLP2","82.50149536132812","265240.4375","104511.8984375"
"1","A1","102","RPLP2","82.72650146484375","204264.390625","111982.96875"
"1","A1","103","RPLP2","82.9515151977539","159886.515625","113145.046875"
"1","A1","104","RPLP2","83.17652893066406","123375.4140625","107449.7578125"
"1","A1","105","RPLP2","83.40153503417969","108790.4921875","95800.6640625"
"1","A1","106","RPLP2","83.62654876708984","103151.3984375","80272.203125"
"1","A1","107","RPLP2","83.8515625","99525.0","63444.7734375"
"1","A1","108","RPLP2","84.07656860351562","97621.8125","47654.46875"
"1","A1","109","RPLP2","84.30158233642578","95463.1796875","34460.7890625"
"1","A1","110","RPLP2","84.52659606933594","94938.703125","24485.55078125"
"1","A1","111","RPLP2","84.75160217285156","93555.90625","15894.3779296875"
"1","A1","112","RPLP2","84.97661590576172","93891.96875","9688.0595703125"
"1","A1","113","RPLP2","85.20162200927734","92531.921875","5982.5673828125"
"1","A1","114","RPLP2","85.4266357421875","92867.1328125","3905.494140625"
"1","A1","115","RPLP2","85.65164947509766","90350.2578125","2816.93359375"
"1","A1","116","RPLP2","85.87665557861328","92228.0390625","2304.3515625"
"1","A1","117","RPLP2","86.10166931152344","90065.5703125","2124.236328125"
"1","A1","118","RPLP2","86.32667541503906","90067.5390625","2135.25"
"1","A1","119","RPLP2","86.55168914794922","88914.0","2244.431640625"
"1","A1","120","RPLP2","86.77670288085938","89198.8046875","2374.29296875"
