# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:01 AM UTC
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"pRH106","RBD","12.316352934228991","12.316352934228991","-3.1036941121239465","0.17793903575748007","0.10273315019392357","0.0","1.0","0.8206090943556266","1.2186070162739764","FALSE"
"pRH106","RPLP2","15.420047046352938","15.420047046352938","","","","","","","","FALSE"
"pRH106","S2","13.07520757403053","13.07520757403053","-2.3448394723224073","0.08984344324264132","0.051871136141061834","0.0","1.0","0.9049955717001487","1.104977782511547","FALSE"
"pRH106","mCherry_1","11.467628519259968","11.467628519259968","-3.95241852709297","0.3049176577119073","0.17604429176063988","0.0","1.0","0.7126287967400681","1.403255109216069","FALSE"
"pRH106","mCherry_2","12.24819641390087","12.24819641390087","-3.1718506324520686","0.27607796667153134","0.15939368837513315","0.0","1.0","0.735833964247667","1.3590022322799713","FALSE"
"pRH107","RBD","12.646982526673856","12.646982526673856","-2.475951418258978","0.21747334296811255","0.1255582931042076","0.6277426938649686","0.6471882436335079","0.5082645789944834","0.8240838335145345","FALSE"
"pRH107","RPLP2","15.122933944932834","15.122933944932834","","","","","","","","FALSE"
"pRH107","S2","12.996247525650398","12.996247525650398","-2.1266864192824357","0.23501945576039512","0.1356885460480635","0.21815305303997157","0.8596652809914588","0.6620972978216494","1.1161869981550603","FALSE"
"pRH107","mCherry_1","11.247680434922213","11.247680434922213","-3.875253510010621","0.2128931246736299","0.12291390283894078","0.0771650170823488","0.9479185349387905","0.748239108591042","1.2008855706199324","FALSE"
"pRH107","mCherry_2","12.405714839098318","12.405714839098318","-2.7172191058345163","0.3551498895346102","0.20504588432547308","0.45463152661755224","0.7296965173997261","0.4917748400787158","1.082725190699185","FALSE"
"pRH108","RBD","12.742574036031964","12.742574036031964","-2.456716202822781","0.11445921580358492","0.06608305905543323","0.6469779093011656","0.6386166580885454","0.5623522894049555","0.7252237497240785","FALSE"
"pRH108","RPLP2","15.199290238854745","15.199290238854745","","","","","","","","FALSE"
"pRH108","S2","12.903344473976404","12.903344473976404","-2.2959457648783417","0.15222577049146135","0.08788758957084342","0.048893707444065626","0.9666773157319037","0.8162546580509265","1.1448204595634135","FALSE"
"pRH108","mCherry_1","11.113259577045651","11.113259577045651","-4.086030661809094","0.2709286936018311","0.1564207541822108","-0.13361213471612388","1.0970369620345406","0.8118687939000463","1.4823701872917938","FALSE"
"pRH108","mCherry_2","12.405664563915275","12.405664563915275","-2.79362567493947","0.16463197287962628","0.09505031385927142","0.37822495751259844","0.7693836317636069","0.6407675813823479","0.9238157329194506","FALSE"
"pRH112","RBD","13.89286317206561","13.89286317206561","-1.520193440917712","0.18085525171052358","0.10441682825942833","1.5835006712062345","0.333671258843706","0.2729278906575824","0.40793379053380513","FALSE"
"pRH112","RPLP2","15.413056612983322","15.413056612983322","","","","","","","","FALSE"
"pRH112","S2","14.003293932701029","14.003293932701029","-1.4097626802822933","0.1868829119221176","0.10789689950517573","0.935076792040114","0.5230146300352809","0.4249465778783013","0.6437145690093802","FALSE"
"pRH112","mCherry_1","11.972887089054437","11.972887089054437","-3.440169523928885","0.3270309834488873","0.18881142632756312","0.5122490031640847","0.7011286029965474","0.4875176771854207","1.0083353710945009","FALSE"
"pRH112","mCherry_2","13.472207693456056","13.472207693456056","-1.9408489195272658","0.1440657187505535","0.08317638150162898","1.2310017129248028","0.42602154171792306","0.36300557991785876","0.49997676082220216","FALSE"
"pRH106_0.1","RBD","15.424255391594118","15.424255391594118","-3.072958447676191","0.09846351304308225","0.05684793576077977","0.03073566444775544","0.9789209952417824","0.8774745347472054","1.0920958694274108","FALSE"
"pRH106_0.01","RBD","18.953412281488355","18.953412281488355","-2.868415913784702","0.08389550113329898","0.04843709016310872","0.23527819833924468","0.8495211681421786","0.7739106293896815","0.9325188047756692","FALSE"
"pRH106_0.001","RBD","21.96995007686929","21.96995007686929","-3.1562485782849024","0.195727787535577","0.11300349082155528","-0.052554466160955826","1.0370996094611395","0.8343973477801385","1.2890448451279826","FALSE"
"pRH106_0.0001","RBD","24.39393137662361","24.39393137662361","-4.19893697473033","1.1186610041001424","0.6458592318491542","-1.0952428626063835","2.136490441623926","0.6164475950890527","7.404670637884464","FALSE"
"pRH106_0.1","RPLP2","18.49721383927031","18.49721383927031","","","","","","","","FALSE"
"pRH106_0.01","RPLP2","21.821828195273056","21.821828195273056","","","","","","","","FALSE"
"pRH106_0.001","RPLP2","25.12619865515419","25.12619865515419","","","","","","","","FALSE"
"pRH106_0.0001","RPLP2","28.59286835135394","28.59286835135394","","","","","","","","FALSE"
