# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:01 AM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"2","A2","24","RPLP2","7.7922139167785645","5.551635073480152","pRH107","FALSE"
"2","A2","25","RPLP2","7.931029796600342","5.658590846969967","pRH107","FALSE"
"2","A2","26","RPLP2","8.020442962646484","5.716143906684149","pRH107","FALSE"
"2","A2","27","RPLP2","8.041463851928711","5.7053046896344135","pRH107","FALSE"
"2","A2","28","RPLP2","8.092901229858398","5.72488196123214","pRH107","FALSE"
"2","A2","29","RPLP2","8.142924308776855","5.743044933818635","pRH107","FALSE"
"2","A2","30","RPLP2","8.164884567260742","5.73314508597056","pRH107","FALSE"
"2","A2","31","RPLP2","8.193236351013184","5.72963676339104","pRH107","FALSE"
"2","A2","32","RPLP2","8.192435264587402","5.696975570633298","pRH107","FALSE"
"2","A2","33","RPLP2","8.170802116394043","5.643482316107977","pRH107","FALSE"
"2","A2","34","RPLP2","8.166858673095703","5.607678766477675","pRH107","FALSE"
"2","A2","35","RPLP2","8.176031112670898","5.584991099720909","pRH107","FALSE"
"2","A2","36","RPLP2","8.176604270935059","5.553704151653108","pRH107","FALSE"
"2","A2","37","RPLP2","8.16323184967041","5.508471624056498","pRH107","FALSE"
"2","A2","38","RPLP2","8.182106018066406","5.495485686120532","pRH107","FALSE"
"2","A2","39","RPLP2","8.181093215942383","5.462612777664548","pRH107","FALSE"
"2","A2","40","RPLP2","8.166444778442383","5.416104233832586","pRH107","FALSE"
"3","A3","1","RPLP2","1.527467966079712","0.024352547100612004","pRH108","FALSE"
"3","A3","2","RPLP2","1.5494881868362427","0.01658000946044928","pRH108","FALSE"
"3","A3","3","RPLP2","1.5714627504348755","0.008761814662388383","pRH108","FALSE"
