# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:02 AM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"32","B8","pRH106_0.0001","RPLP2","87.22357177734375","974.322265625"
"32","B8","pRH106_0.0001","RPLP2","75.86192321777344","23394.296875"
"49","C1","pRH106","RPLP2","82.9515151977539","125527.3984375"
"49","C1","pRH106","RPLP2","60.90044403076172","22285.765625"
"49","C1","pRH106","RPLP2","90.60188293457031","364.751953125"
"49","C1","pRH106","RPLP2","68.66332244873047","23728.337890625"
"49","C1","pRH106","RPLP2","65.40066528320312","23676.123046875"
"50","C2","pRH107","RPLP2","82.9515151977539","118552.25"
"50","C2","pRH107","RPLP2","67.76327514648438","23591.349609375"
"50","C2","pRH107","RPLP2","64.72563171386719","23382.412109375"
"50","C2","pRH107","RPLP2","73.50105285644531","22807.05859375"
"50","C2","pRH107","RPLP2","93.63953399658203","1235.044921875"
"51","C3","pRH108","RPLP2","82.9515151977539","126439.9921875"
"51","C3","pRH108","RPLP2","67.76327514648438","24715.525390625"
"51","C3","pRH108","RPLP2","89.70184326171875","1859.40625"
"51","C3","pRH108","RPLP2","65.06314849853516","24385.685546875"
"51","C3","pRH108","RPLP2","61.46297073364258","21883.435546875"
"52","C4","pRH112","RPLP2","83.06401824951172","140743.53125"
"52","C4","pRH112","RPLP2","66.18820190429688","28319.013671875"
"52","C4","pRH112","RPLP2","73.27604675292969","27184.8125"
"52","C4","pRH112","RPLP2","90.60188293457031","1810.4296875"
"52","C4","pRH112","RPLP2","69.56336212158203","27642.69921875"
"53","C5","pRH106_0.1","RPLP2","83.06138610839844","132092.359375"
"53","C5","pRH106_0.1","RPLP2","67.20006561279297","25621.375"
"53","C5","pRH106_0.1","RPLP2","70.79979705810547","25572.255859375"
"53","C5","pRH106_0.1","RPLP2","93.74809265136719","-1097.333984375"
"53","C5","pRH106_0.1","RPLP2","89.0234375","-133.81640625"
"54","C6","pRH106_0.01","RPLP2","82.94889068603516","134205.859375"
"54","C6","pRH106_0.01","RPLP2","63.37534713745117","26757.47265625"
"54","C6","pRH106_0.01","RPLP2","91.04829406738281","3029.0"
"54","C6","pRH106_0.01","RPLP2","78.56172180175781","32488.572265625"
"54","C6","pRH106_0.01","RPLP2","93.97306823730469","2505.818359375"
"55","C7","pRH106_0.001","RPLP2","83.06138610839844","118184.8359375"
"55","C7","pRH106_0.001","RPLP2","66.86258697509766","22945.28125"
"56","C8","pRH106_0.0001","RPLP2","83.28636932373047","130009.921875"
"56","C8","pRH106_0.0001","RPLP2","67.98750305175781","25250.546875"
